Run,Real Time (s),Peak RSS (GB),Number of Distinct Minimizers,Singleton Rate,Average Spacing,Total Reads,Mapped Reads,Mapping Rate,Unmapped Reads,Unmapped Reads Rate,High-Quality Reads
SRR11648416,170.816,2.884,350740,80.33,9.573,28777652,28595107,0.9937,182545,0.006343290272604589,70210
SRR11648417,193.95,3.347,350740,80.33,9.573,33383527,33183402,0.9940000000000001,200125,0.005994723086029825,83636
SRR11648418,176.27,3.04,350740,80.33,9.573,30173643,29992499,0.9940000000000001,181144,0.0060033851398056245,62269
SRR11648419,192.045,3.291,350740,80.33,9.573,32603525,32403442,0.9939,200083,0.006136851766795155,85822
SRR11648420,202.133,3.429,350740,80.33,9.573,34051612,33858563,0.9943000000000001,193049,0.005669305758564382,89563
SRR11648421,169.159,2.888,350740,80.33,9.573,28762186,28587844,0.9939,174342,0.006061500332415624,65539
