Run,Real Time (s),Peak RSS (GB),Number of Distinct Minimizers,Singleton Rate,Average Spacing,Total Reads,Mapped Reads,Mapping Rate,Unmapped Reads,Unmapped Reads Rate,High-Quality Reads
SRR11648416,198.803,2.972,591648,97.93,6.971,29454651,29381695,0.9975,72956,0.002476892359036948,100154
SRR11648417,226.984,3.437,591648,97.93,6.971,34105854,34020219,0.9975,85635,0.0025108592794656306,119704
SRR11648418,205.321,3.108,591648,97.93,6.971,30780006,30690853,0.9971,89153,0.0028964581748294658,91304
SRR11648419,218.761,3.361,591648,97.93,6.971,33240477,33138221,0.9969,102256,0.003076249477406717,124211
SRR11648420,229.68,3.502,591648,97.93,6.971,34731624,34642328,0.9974,89296,0.0025710286394900507,129169
SRR11648421,190.896,2.966,591648,97.93,6.971,29388658,29312653,0.9974,76005,0.002586201792541871,93914
