Run,Real Time (s),Peak RSS (GB),Number of Distinct Minimizers,Singleton Rate,Average Spacing,Total Reads,Mapped Reads,Mapping Rate,Unmapped Reads,Unmapped Reads Rate,High-Quality Reads
SRR11648416,238.821,2.978,773478,98.24,5.349,29450760,29378975,0.9976,71785,0.0024374583202606656,101131
SRR11648417,273.887,3.443,773478,98.24,5.349,34099464,34014970,0.9975,84494,0.0024778688603433767,120771
SRR11648418,241.386,3.122,773478,98.24,5.349,30765513,30677370,0.9971,88143,0.0028649936700226647,92437
SRR11648419,269.17,3.403,773478,98.24,5.349,33235654,33134878,0.997,100776,0.003032165396835579,125489
SRR11648420,288.232,3.508,773478,98.24,5.349,34725302,34637424,0.9975,87878,0.0025306619363598334,130567
SRR11648421,239.081,2.973,773478,98.24,5.349,29382678,29307856,0.9975,74822,0.0025464663227769777,94966
