Run,Real Time (s),Peak RSS (GB),Number of Distinct Minimizers,Singleton Rate,Average Spacing,Total Reads,Mapped Reads,Mapping Rate,Unmapped Reads,Unmapped Reads Rate,High-Quality Reads
SRR11648416,177.45,2.954,464874,83.9,7.534,29223991,29124355,0.9965999999999999,99636,0.003409390592818072,85161
SRR11648417,210.911,3.417,464874,83.9,7.534,33835764,33719516,0.9965999999999999,116248,0.0034356546522785773,101923
SRR11648418,183.787,3.09,464874,83.9,7.534,30524253,30404309,0.9961,119944,0.003929465530245736,79166
SRR11648419,204.933,3.341,464874,83.9,7.534,32952531,32815249,0.9958,137282,0.004166053284344076,105041
SRR11648420,212.917,3.482,464874,83.9,7.534,34442807,34320166,0.9964,122641,0.00356071443306,109854
SRR11648421,181.536,2.95,464874,83.9,7.534,29159846,29057444,0.9965,102402,0.0035117469413247244,80865
