Run,Real Time (s),Peak RSS (GB),Number of Distinct Minimizers,Singleton Rate,Average Spacing,Total Reads,Mapped Reads,Mapping Rate,Unmapped Reads,Unmapped Reads Rate,High-Quality Reads
SRR11648416,237.892,2.98,735792,97.87,5.601,29492736,29425015,0.9976999999999999,67721,0.00229619252686492,102072
SRR11648417,275.891,3.445,735792,97.87,5.601,34148882,34069206,0.9976999999999999,79676,0.0023331949783890436,121900
SRR11648418,247.045,3.116,735792,97.87,5.601,30824790,30741769,0.9973000000000001,83021,0.0026933192407799047,93448
SRR11648419,274.952,3.369,735792,97.87,5.601,33293713,33198779,0.9971,94934,0.0028514092135052643,126936
SRR11648420,277.88,3.535,735792,97.87,5.601,34780274,34697508,0.9976,82766,0.0023796822302204978,131940
SRR11648421,238.859,2.973,735792,97.87,5.601,29424652,29353969,0.9976,70683,0.0024021694462180894,96042
